panel,area,circuit,type,points,phases,voltage,power_va,current_a,phase_assignment,breaker,poles,breaking_capacity,phase_section,neutral_section,pe_section,source_file,source_sheet,source_cell_or_range
QDL5,ESCRITORIO,L18,ILUMINACAO,15,1,220,1800,8.18,R,MDWH-C10 feeder / MDW-C10 circuit,1,5 kA,1.5,1.5,1.5,QDL-ILUMINAÇÃO.xlsx,QDL/SEÇÃO/DISJUNTORES,R21
QDL6,SAIDA DE PRODUTOS,L19,ILUMINACAO,3,1,220,360,1.64,T,MDW-C10,1,5 kA,1.5,1.5,1.5,QDL-ILUMINAÇÃO.xlsx,QDL/SEÇÃO/DISJUNTORES,R22
QDL6,CONTROLE DE QUALIDADE,L20,ILUMINACAO,18,1,220,2160,9.82,S,MDW-C10,1,5 kA,2.5,2.5,2.5,QDL-ILUMINAÇÃO.xlsx,QDL/SEÇÃO/DISJUNTORES,R23
QDL7,BANHEIRO (VESTUARIO),L21,ILUMINACAO,2,1,220,240,1.09,T,MDW-C10,1,5 kA,1.5,1.5,1.5,QDL-ILUMINAÇÃO.xlsx,QDL/SEÇÃO/DISJUNTORES,R24
QDF5,ESCRITORIO,T11,TUG,6,1,220,1200,5.45,R,MDW-C10,1,5 kA,2.5,2.5,2.5,Tomadas TUGs e TUEs.xlsx,QDF/SEÇÃO/DISJUNTORES,R14
QDF5,ESCRITORIO,T12,TUG,5,1,220,1000,4.55,S,MDW-C10,1,5 kA,2.5,2.5,2.5,Tomadas TUGs e TUEs.xlsx,QDF/SEÇÃO/DISJUNTORES,R15
QDF5,ESCRITORIO,T13,TUE-CLIMATIZACAO,1,1,220,1500,6.82,R,MDW-C10,1,5 kA,2.5,2.5,2.5,Tomadas TUGs e TUEs.xlsx,QDF/SEÇÃO/DISJUNTORES,R16
QDF6,SAIDA DE PRODUTOS,T14,TUG,8,1,220,1600,7.27,R,MDW-C10,1,5 kA,2.5,2.5,2.5,Tomadas TUGs e TUEs.xlsx,QDF/SEÇÃO/DISJUNTORES,R17
QDF6,CONTROLE DE QUALIDADE,T15,TUG,8,1,220,1600,7.27,S,MDW-C10,1,5 kA,2.5,2.5,2.5,Tomadas TUGs e TUEs.xlsx,QDF/SEÇÃO/DISJUNTORES,R18
QDF6,SAIDA DE PRODUTOS,T16,TUE-CLIMATIZACAO,1,1,220,1500,6.82,S,MDW-C10,1,5 kA,2.5,2.5,2.5,Tomadas TUGs e TUEs.xlsx,QDF/SEÇÃO/DISJUNTORES,R19
QDF6,CONTROLE DE QUALIDADE,T17,TUE-CLIMATIZACAO,1,1,220,1500,6.82,S,MDW-C10,1,5 kA,2.5,2.5,2.5,Tomadas TUGs e TUEs.xlsx,QDF/SEÇÃO/DISJUNTORES,R20
QDF7,BANHEIRO (VESTUARIO),T18,TUG,1,1,220,600,2.73,R,MDW-C10,1,5 kA,2.5,2.5,2.5,Tomadas TUGs e TUEs.xlsx,QDF/SEÇÃO/DISJUNTORES,R21
QDF7,BANHEIRO (VESTUARIO),T19,TUE-CHUVEIRO+DDR30mA,1,1,220,9000,40.91,T,MDW-C50+DDR30mA-anotacao,1,5 kA,16,16,16,Tomadas TUGs e TUEs.xlsx,QDF/SEÇÃO/DISJUNTORES,R22+R24
