ESCRITÓRIO	_ARQ-TEXTO	359.04	18.03	0.25
BANHEIRO	_ARQ-TEXTO	358.88	53.60	0.25
RECAPAGEM	_ARQ-TEXTO	370.25	36.93	0.35
CONTROLE DE QUALIDADE	_ARQ-TEXTO	363.74	56.86	0.25
SAIDA DE PRODUTO	_ARQ-TEXTO	357.47	56.81	0.25
RASPA	_ARQ-TEXTO	376.95	18.21	0.35
SALA DE CALDEIRAS	_ARQ-TEXTO	402.45	38.31	0.35
MEDIÇÃO	_ELT-PONTO-TEXTO	401.24	57.61	0.18
SUBESTAÇÃO	_ARQ-TEXTO	401.91	57.58	0.35
RESERVA	_ELT-PONTO-TEXTO	408.53	51.84	0.15
TC-TP	_ELT-PONTO-TEXTO	409.19	57.89	0.15
PROTEÇÃO	_ELT-PONTO-TEXTO	409.45	57.89	0.15
DISJUNTOR	_ELT-PONTO-TEXTO	409.36	56.00	0.15
TRAFO	_ELT-PONTO-TEXTO	409.70	54.06	0.15
MEDIÇÃO	_ELT-PONTO-TEXTO	409.45	59.58	0.15
TC-TP	_ELT-PONTO-TEXTO	409.19	59.58	0.15
30.90	_COTAS	384.72	62.52	0.25
6,0	_COTAS	359.77	12.82	0.25
BOMBAS e PRENSA	_ARQ-TEXTO	401.96	25.69	0.35
DEPÓSITO DE \PCARCAÇAS 1	_ARQ-TEXTO	397.64	19.37	0.35
DEPÓSITO DE \PCARCAÇAS 2	_ARQ-TEXTO	403.60	19.62	0.35
QDL1	_ELT-PONTO-TEXTO	406.13	35.57	0.18
QDL2	_ELT-PONTO-TEXTO	406.13	33.72	0.18
QDL3	_ELT-PONTO-TEXTO	409.19	23.33	0.18
QDL4	_ELT-PONTO-TEXTO	382.33	23.07	0.18
QDGL	_ELT-PONTO-TEXTO	400.30	47.62	0.18
QDGF	_ELT-PONTO-TEXTO	400.30	49.39	0.18
ESCRITÓRIO	_ARQ-TEXTO	359.04	83.68	0.25
BANHEIRO	_ARQ-TEXTO	358.88	119.26	0.25
RECAPAGEM	_ARQ-TEXTO	370.25	102.59	0.35
CONTROLE DE QUALIDADE	_ARQ-TEXTO	363.74	122.51	0.25
SAIDA DE PRODUTO	_ARQ-TEXTO	357.47	122.46	0.25
SALA DE CALDEIRAS	_ARQ-TEXTO	402.45	105.13	0.35
MEDIÇÃO	_ELT-PONTO-TEXTO	401.24	123.27	0.18
SUBESTAÇÃO	_ARQ-TEXTO	401.91	123.23	0.35
RESERVA	_ELT-PONTO-TEXTO	408.53	117.49	0.15
TC-TP	_ELT-PONTO-TEXTO	409.19	123.54	0.15
PROTEÇÃO	_ELT-PONTO-TEXTO	409.45	123.54	0.15
DISJUNTOR	_ELT-PONTO-TEXTO	409.36	121.65	0.15
TRAFO	_ELT-PONTO-TEXTO	409.70	119.71	0.15
MEDIÇÃO	_ELT-PONTO-TEXTO	409.45	125.24	0.15
TC-TP	_ELT-PONTO-TEXTO	409.19	125.24	0.15
30.90	_COTAS	384.72	128.17	0.25
6,0	_COTAS	359.77	78.47	0.25
BOMBAS e PRENSA	_ARQ-TEXTO	401.96	91.82	0.35
DEPÓSITO DE \PCARCAÇAS 1	_ARQ-TEXTO	398.89	83.77	0.35
DEPÓSITO DE \PCARCAÇAS 2	_ARQ-TEXTO	403.60	85.27	0.35
QDL1	_ELT-PONTO-TEXTO	406.13	101.23	0.18
QDL2	_ELT-PONTO-TEXTO	406.13	99.37	0.18
QDL3	_ELT-PONTO-TEXTO	409.19	88.98	0.18
QDGL	_ELT-PONTO-TEXTO	400.30	113.27	0.18
QDGF	_ELT-PONTO-TEXTO	400.30	114.92	0.18
QDF1	_ELT-PONTO-TEXTO	403.10	101.23	0.18
QDF2	_ELT-PONTO-TEXTO	403.10	99.37	0.18
QDF3	_ELT-PONTO-TEXTO	409.19	85.75	0.18
QDF4	_ELT-PONTO-TEXTO	377.71	88.72	0.18
QDL4	_ELT-PONTO-TEXTO	382.33	88.72	0.18
QDL5	_ELT-PONTO-TEXTO	362.15	13.35	0.18
QDL6	_ELT-PONTO-TEXTO	362.75	60.75	0.18
L20	_ELT-PONTO-TEXTO	366.40	60.80	0.15
QDL7	_ELT-PONTO-TEXTO	361.35	50.35	0.18
T11	_ELT-PONTO-TEXTO	361.90	83.00	0.15
QDF5	_ELT-PONTO-TEXTO	362.35	79.05	0.18
T12	_ELT-PONTO-TEXTO	358.10	83.00	0.15
T13	_ELT-PONTO-TEXTO	360.90	87.80	0.15
T14	_ELT-PONTO-TEXTO	357.95	123.75	0.15
T15	_ELT-PONTO-TEXTO	368.95	123.75	0.15
T16	_ELT-PONTO-TEXTO	361.00	126.70	0.15
T17	_ELT-PONTO-TEXTO	366.50	126.70	0.15
QDF6	_ELT-PONTO-TEXTO	363.50	126.70	0.18
T18	_ELT-PONTO-TEXTO	357.60	118.45	0.15
T19	_ELT-PONTO-TEXTO	360.35	119.45	0.15
QDF7	_ELT-PONTO-TEXTO	361.25	115.85	0.18
